2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35256 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35256@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35262 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35262@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35268 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35268@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35266 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35266@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35274 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35274@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35278 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35278@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35288 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35288@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35294 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35294@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35298 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35298@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35300 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35300@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35308 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35308@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35312 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35312@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35322 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35322@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35326 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35326@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35328 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35328@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35336 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35336@61616
