Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"asentria-siteboss-530","Available","Snmp","Asentria","ESP","SiteBoss 530","","6.0.10","0","","",""
"asentria-siteboss-550","Available","Snmp","Asentria","ESP","SiteBoss 550","","6.0.10","0","","",""
"asentria-siteboss-570","Available","Snmp","Asentria","ESP","SiteBoss 570","","6.0.10","0","","",""
"aspen-syslog","Available","Ascii","Aspen","Server","ASPEN SYSLOG","","6.0.10","0","","",""
"audiocodes-btx-4k","Available","Snmp","AudioCodes","Gateway","AudioCodes ORCA BTX-4K","","6.0.10","0","","",""
"audiocodes","Available","Snmp","AudioCodes Limited","Gateway","MediaPack","","6.0.10","0","","",""
"aurora-ge4132m-gpon","Available","Snmp","Aurora Networks, Inc","OLT","GE4132M","","6.0.10","0","","",""
"aurora-onu-e888x-rtn","Available","Snmp","Aurora Networks, Inc","ONU","E888X","","6.0.10","0","","",""
"aurora-system3000","Available","Snmp","Aurora Networks, Inc","Unknown","CH3000","","6.0.10","0","","",""
"aviat-provision","Available","Snmp","Aviat Networks","Manager","ProVision","","6.0.10","0","","",""
"barracuda-antispam-server","Available","Snmp","Barracuda Networks","Firewall","Spam and Virus Firewall","","6.0.10","0","","",""
"batm-t-marc-300","Available","Snmp","BATM Advanced Communications Ltd.","Demarcation Device","T-Marc","","6.0.10","0","","",""
"benning-dsp-120","Available","Snmp","Benning","Unknown","Benning TEBEVERT DSP-120","","6.0.10","0","","",""
"bluecat-adonis","Available","Snmp","BlueCat Adonis","Unknown","","","6.0.10","0","","",""
"brocade-cer2024","Available","Snmp","Brocade Communications Systems, Inc","Router","CER2024F,CES2024F,CES2024C,CES2048FX,CES2024F-4X","","6.0.10","0","","",""
"brocade-ces2024f-4x","Available","Snmp","Brocade Communications Systems, Inc","Switch","CES2024-4X","","6.0.2","0","","",""
"brocade-fastiron-sx800","Available","Snmp","Foundry Networks","Switch","Foundry Networks","","6.0.10","0","","",""
"brocade-fcx624","Available","Snmp","Brocade Communications Systems, Inc","Switch","FCX624,FCX648,ICX6610","","6.0.10","0","","",""
"brocade-icx7450","Available","Snmp","Brocade Communications Systems, Inc","Switch","ICX7450","","6.0.10","0","","",""
"bti-702","Available","Snmp","BTI","Unknown","BTI-702","","6.0.10","0","","",""
"bti-704","Available","Snmp","BTI","Unknown","BTI-704","","6.0.10","0","","",""
"bti-7060","Available","Snmp","BTI","Unknown","BTI 7060","","6.0.10","0","","",""
"bti-7200","Available","Snmp","BTI","Unknown","BTI 7200","","6.0.10","0","","",""
"bti-7800","Available","Snmp","BTI","Unknown","BTI 7800 Series Intelligent Cloud Connect Platform","","6.0.10","0","","",""
"bti-810","Available","Snmp","BTI","Unknown","BTI-810","","6.0.10","0","","",""
"bti-netstender","Available","Tl1","BTI Systems","MUX","NetStender","","6.0.10","0","","",""
"cac-widebank-28","Available","Tl1","Carrier Access Corporation","MUX","WideBank-28-DS3-Mux","","6.0.10","0","","",""
"calix-2000","Available","Snmp","Calix","ONU","Calix-2000","","6.0.10","0","","",""
"calix-700ge-ont","Available","Snmp","Calix","ONU","700ge-ont","","6.0.10","0","","",""
"calix-b6-214","Available","Snmp","Calix","Access Point","B6-214","","6.0.10","0","","",""
"calix-b6-318","Available","Snmp","Calix","Access Point","B6-318","","6.0.10","0","","",""
"calix-c7-ems","Available","Tl1","Calix","Manager","C7CMS","","6.0.10","0","","",""
"calix-c7-snmp","Available","Snmp","Calix","MSAP","C7","","6.0.10","0","","",""
"calix-c7","Available","Tl1","Calix","OSTP","C7","","6.0.10","0","","",""
"calix-c7cms","Available","Tl1","Calix","OSTP","C7CMS","","6.0.10","0","","",""
"calix-e3","Available","Snmp","Calix","ESP","E3","","6.0.10","0","","",""
"calix-e5-110","Available","Snmp","Calix","ESP","E5-110","","6.0.10","0","","",""
"calix-e5-111","Available","Snmp","Calix","ESP","E5-111","","6.0.10","0","","",""
"calix-e7","Available","Snmp","Calix","ESP","E7","","6.0.10","0","","",""
"carrier-access-mux","Available","Snmp","Carrier Access","MUX","Multiplexer","","6.0.10","0","","",""
"casa-c100g","Available","Snmp","CASA Systems","CMTS","c100g","","6.0.10","0","","",""
"casa-c10g","Available","Snmp","CASA Systems","CMTS","c10g","","6.0.10","0","","",""
"ceragon-ip-10","Available","Snmp","CERAGON","Switch","CERAGON IP-10","","6.0.10","0","","",""
"ceragon-ip-20","Available","Snmp","CERAGON","Switch","CERAGON IP-20","","6.0.10","0","","",""
"checkpoint-ngx","Available","Snmp","Check Point Software Technologies LTD.","Firewall","Checkpoint NGX R62 Firewall","","6.0.10","0","","",""
"ciena-3900","Available","Snmp","Ciena","Switch","Ciena 3900,3903","","6.0.10","0","","",""
"ciena-3916","Available","Snmp","Ciena","Switch","Ciena 3900,3916,3930","","6.0.10","0","","",""
"ciena-3930","Available","Snmp","Ciena","Switch","Ciena 3900,3916,3930,3931,3932","","6.0.10","0","","",""
"ciena-5140","Available","Snmp","Ciena","Switch","5140","","6.0.10","0","","",""
"ciena-5142","Available","Snmp","Ciena","Switch","5142","","6.0.10","0","","",""
"ciena-5150","Available","Snmp","Ciena","Switch","5150","","6.0.10","0","","",""
"ciena-5160","Available","Snmp","Ciena","Switch","5160","","6.0.10","0","","",""
"ciena-5400-snmp","Available","Snmp","Ciena","Switch","Ciena-5400","","6.0.10","0","","",""
"ciena-5400","Available","Tl1","Ciena","Switch","5400 Reconfigurable Switching System","","6.0.10","0","","",""
"ciena-6500-v6","Available","Tl1","Ciena","MSTP","Optical Multiservice Edge 6500.*","","6.0.10","0","","",""
"ciena-6500","Available","Tl1","Ciena","MSTP","Optical Multiservice Edge 6500.*","","6.0.10","0","","",""
"ciena-8700","Available","Snmp","ciena","Switch","ciena-8700","","6.0.10","0","","",""
"ciena-cn-4200","Available","Tl1","Ciena","MSPP","CN 4200","","6.0.10","0","","",""
"ciena-coredirector","Available","Tl1","Ciena","MSSP","Core Director","","6.0.10","0","","",""
"ciena-online-metro","Available","Tl1","Ciena","ADM","Online Metro","","6.0.10","0","","",""
"ciena-z33","Available","Snmp","Ciena","Unknown","ciena-z33","","6.0.10","0","","",""
"cisco-10012","Available","Snmp","Cisco Systems, Inc","CMTS","Cisco 10012","","6.0.10","0","","",""
"cisco-12004","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12004","","6.0.10","0","","",""
"cisco-12006","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12006","","6.0.10","0","","",""
"cisco-12008","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12008","","6.0.10","0","","",""
"cisco-12010","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12010","","6.0.10","0","","",""
"cisco-12012","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12012","","6.0.10","0","","",""
"cisco-12014","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12014","","6.0.10","0","","",""
"cisco-12016","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12016","","6.0.10","0","","",""
"cisco-12404","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12404","","6.0.10","0","","",""
"cisco-12406","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12406","","6.0.10","0","","",""
"cisco-12410","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12410","","6.0.10","0","","",""
"cisco-12416","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12416","","6.0.10","0","","",""
"cisco-12810","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12810","","6.0.10","0","","",""
"cisco-12816","Available","Snmp","Cisco Systems, Inc","Router","Cisco 12816","","6.0.10","0","","",""
"cisco-1600","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1600","","6.0.10","0","","",""
"cisco-1701","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1701 ADSL Security Access Router","","6.0.10","0","","",""
"cisco-1711","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1711 Security Access Router","","6.0.10","0","","",""
"cisco-1720","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1700 Series Modular Access Routers","","6.0.10","0","","",""
"cisco-1800","Available","Snmp","Cisco Systems, Inc","Router","Router","","6.0.10","0","","",""
"cisco-1811","Available","Snmp","Cisco Systems, Inc","Router","Router","","6.0.10","0","","",""
"cisco-1841","Available","Snmp","Cisco Systems, Inc","Router","Router","","6.0.10","0","","",""
"cisco-1900","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1900","","6.0.10","0","","",""
"cisco-1941","Available","Snmp","Cisco Systems, Inc","Router","Cisco 1941","","6.0.10","0","","",""
"cisco-2431","Available","Snmp","Cisco Systems, Inc","Gateway","Cisco 2431 Integrated Access Device","","6.0.10","0","","",""
